channel,days,program,comment,detail,family,news,post,video,video_view
iHQ,금,"맛있는 녀석들",1287,0.3,0.4,248,252,11,147
JTBC,월,슈퍼밴드2,17771,1.5,2.4,740,1351,64,737
JTBC,일,"뭉쳐야 찬다2",2689,3.4,4.8,236,446,50,881
JTBC,토,"아는 형님",14363,1.0,1.9,323,725,58,706
JTBC,토일,인간실격,2456,0.5,0.8,336,429,70,330
JTBC,화,풍류대장,3013,1.1,2.5,191,347,58,468
KBS2,금,"신상출시 편스토랑",1228,1.1,3.0,295,385,44,63
KBS2,금,"유희열의 스케치북",2573,0.6,1.2,76,200,72,133
KBS2,수목,"달리와 감자탕",2004,1.8,4.4,457,384,55,596
KBS2,월화,경찰수업,1395,2.0,5.7,767,390,56,376
KBS2,월화,연모,3484,0.0,0.0,677,661,37,192
KBS2,월화수목금,"빨강 구두",1151,4.2,17.2,420,195,91,1016
KBS2,일,"1박 2일 시즌4",2693,5.7,10.6,287,365,28,196
KBS2,일,슈퍼맨이돌아왔다,3047,2.3,5.4,297,262,33,1165
KBS2,토,갓파더,3885,1.4,3.6,215,210,34,254
KBS2,토,"불후의 명곡",762,1.9,5.8,173,186,54,103
KBS2,토일,"신사와 아가씨",3752,6.3,21.1,627,575,64,1290
MBC,금,"검은 태양",7874,1.1,2.2,672,1847,49,2540
MBC,금,나혼자산다,3845,4.7,5.4,610,759,53,551
MBC,목,"극한데뷔 야생돌",1311,1.1,1.8,473,248,58,76
MBC,수,라디오스타,1221,3.3,4.6,598,325,46,472
MBC,일,복면가왕,2132,2.2,6.1,249,552,36,89
MBC,토,"놀면 뭐하니?",3334,5.6,6.6,756,669,36,434
MBC,토,"전지적 참견 시점",2938,3.6,5.0,523,566,42,799
MBC,화,"아무튼 출근!",3510,2.0,3.5,222,229,46,1312
MBN,일,알토란,790,0.4,1.7,17,243,53,7
Mnet,금,"걸스플래닛999 : 소녀대전",171939,0.8,0.6,131,1572,126,14723
Mnet,금,쇼미더머니10,35965,1.3,1.2,379,4107,92,5875
Mnet,화,"스트릿 우먼 파이터",118132,2.3,2.2,1455,7639,147,18876
SBS,금,"원 더 우먼",8364,6.0,12.0,640,1293,68,7223
SBS,수,"골 때리는 그녀들",1820,3.4,6.2,405,446,35,319
SBS,수,"백종원의 골목식당",1562,1.5,2.7,151,374,32,73
SBS,월,"생활의 달인",874,1.8,4.5,84,349,14,2
SBS,월화,홍천기,8241,4.1,7.6,828,1171,78,3254
SBS,일,런닝맨,7214,3.9,5.4,429,884,38,3039
SBS,일,"미운 우리 새끼",1678,5.0,10.9,350,331,40,512
SBS,일,집사부일체,3286,2.5,4.6,307,312,32,468
"TV CHOSUN",금,"식객 허영만의 백반기행",583,0.6,1.9,208,245,18,18
"TV CHOSUN",목,"내일은 국민가수",8756,3.0,11.4,518,1504,17,1247
"TV CHOSUN",수,뽕숭아학당,16960,1.6,5.3,339,186,29,422
tvN,금,"슬기로운 산촌생활",3828,4.3,5.4,326,651,42,658
tvN,금,"유미의 세포들",15935,1.6,2.1,387,1624,31,1988
tvN,수,"유 퀴즈 온 더 블럭",3133,3.4,4.1,291,525,62,656
tvN,수목,홈타운,485,1.2,1.7,111,265,78,183
tvN,월,라켓보이즈,6208,0.0,0.0,426,263,2,376
tvN,월화,하이클래스,1547,2.0,3.9,266,523,98,1859
tvN,토,"놀라운 토요일",8763,3.1,2.9,221,1124,101,2854
tvN,토일,"갯마을 차차차",25922,6.0,8.8,130,3648,128,7479
tvN,토일,지리산,1510,0.0,0.0,324,447,2,1
tvN,화,"해치지 않아",2393,3.2,3.9,238,391,52,1133
