id,content_id,contentset_id,channel,days,program
1230,NULL,NULL,Mnet,화,"스트릿 우먼 파이터"
1231,NULL,NULL,Mnet,금,쇼미더머니10
1232,NULL,NULL,tvN,토일,"갯마을 차차차"
1233,NULL,NULL,MBC,금,"검은 태양"
1234,NULL,NULL,tvN,금,"유미의 세포들"
1235,NULL,NULL,Mnet,금,"걸스플래닛999 : 소녀대전"
1236,NULL,NULL,"TV CHOSUN",목,"내일은 국민가수"
1237,NULL,NULL,JTBC,월,슈퍼밴드2
1238,NULL,NULL,SBS,금,"원 더 우먼"
1239,NULL,NULL,SBS,월화,홍천기
1240,NULL,NULL,tvN,토,"놀라운 토요일"
1241,NULL,NULL,SBS,일,런닝맨
1242,NULL,NULL,MBC,금,나혼자산다
1243,NULL,NULL,JTBC,토,"아는 형님"
1244,NULL,NULL,MBC,토,"놀면 뭐하니?"
1245,NULL,NULL,KBS2,월화,연모
1246,NULL,NULL,tvN,금,"슬기로운 산촌생활"
1247,NULL,NULL,KBS2,토일,"신사와 아가씨"
1248,NULL,NULL,MBC,토,"전지적 참견 시점"
1249,NULL,NULL,MBC,일,복면가왕
1250,NULL,NULL,tvN,수,"유 퀴즈 온 더 블럭"
1251,NULL,NULL,tvN,월화,하이클래스
1252,NULL,NULL,tvN,토일,지리산
1253,NULL,NULL,SBS,수,"골 때리는 그녀들"
1254,NULL,NULL,JTBC,일,"뭉쳐야 찬다2"
1255,NULL,NULL,JTBC,토일,인간실격
1256,NULL,NULL,tvN,화,"해치지 않아"
1257,NULL,NULL,KBS2,월화,경찰수업
1258,NULL,NULL,KBS2,금,"신상출시 편스토랑"
1259,NULL,NULL,KBS2,수목,"달리와 감자탕"
1260,NULL,NULL,SBS,수,"백종원의 골목식당"
1261,NULL,NULL,KBS2,일,"1박 2일 시즌4"
1262,NULL,NULL,SBS,월,"생활의 달인"
1263,NULL,NULL,JTBC,화,풍류대장
1264,NULL,NULL,SBS,일,"미운 우리 새끼"
1265,NULL,NULL,MBC,수,라디오스타
1266,NULL,NULL,SBS,일,집사부일체
1267,NULL,NULL,tvN,수목,홈타운
1268,NULL,NULL,tvN,월,라켓보이즈
1269,NULL,NULL,KBS2,일,슈퍼맨이돌아왔다
1270,NULL,NULL,iHQ,금,"맛있는 녀석들"
1271,NULL,NULL,MBC,목,"극한데뷔 야생돌"
1272,NULL,NULL,"TV CHOSUN",금,"식객 허영만의 백반기행"
1273,NULL,NULL,MBN,일,알토란
1274,NULL,NULL,MBC,화,"아무튼 출근!"
1275,NULL,NULL,KBS2,토,갓파더
1276,NULL,NULL,KBS2,금,"유희열의 스케치북"
1277,NULL,NULL,KBS2,월화수목금,"빨강 구두"
1278,NULL,NULL,KBS2,토,"불후의 명곡"
1279,NULL,NULL,"TV CHOSUN",수,뽕숭아학당
